student_track_id,track_Name,date_enrolled,track_completed,days_for_completion,completion_bucket
1,"Data Analyst",2022-08-15,0,NULL,NULL
1,"Data Analyst",2022-02-05,0,NULL,NULL
1,"Data Analyst",2022-04-28,0,NULL,NULL
1,"Business Analyst",2022-06-18,0,NULL,NULL
1,"Data Analyst",2022-02-19,0,NULL,NULL
1,"Data Scientist",2022-05-30,0,NULL,NULL
1,"Data Scientist",2022-09-20,0,NULL,NULL
1,"Data Scientist",2022-01-27,0,NULL,NULL
2,"Business Analyst",2022-05-18,0,NULL,NULL
1,"Data Analyst",2022-05-05,0,NULL,NULL
2,"Business Analyst",2022-05-05,0,NULL,NULL
1,"Data Scientist",2022-01-24,0,NULL,NULL
1,"Data Scientist",2022-09-19,0,NULL,NULL
1,"Data Scientist",2022-03-09,0,NULL,NULL
1,"Data Analyst",2022-03-18,0,NULL,NULL
1,"Data Analyst",2022-04-20,0,NULL,NULL
1,"Data Scientist",2022-01-06,0,NULL,NULL
2,"Business Analyst",2022-01-06,0,NULL,NULL
1,"Data Analyst",2022-01-02,0,NULL,NULL
2,"Business Analyst",2022-01-02,0,NULL,NULL
1,"Data Scientist",2022-02-14,0,NULL,NULL
2,"Business Analyst",2022-02-23,0,NULL,NULL
1,"Data Scientist",2022-08-14,0,NULL,NULL
1,"Data Scientist",2022-07-24,0,NULL,NULL
1,"Data Analyst",2022-04-25,0,NULL,NULL
1,"Data Analyst",2022-09-20,0,NULL,NULL
1,"Data Analyst",2022-06-06,0,NULL,NULL
1,"Data Scientist",2022-10-15,0,NULL,NULL
2,"Data Analyst",2022-10-15,0,NULL,NULL
1,"Data Scientist",2022-10-16,0,NULL,NULL
2,"Business Analyst",2022-10-16,0,NULL,NULL
1,"Data Scientist",2022-05-26,0,NULL,NULL
2,"Data Analyst",2022-05-29,0,NULL,NULL
1,"Data Scientist",2022-03-23,0,NULL,NULL
1,"Data Scientist",2022-09-15,0,NULL,NULL
1,"Data Scientist",2022-07-08,0,NULL,NULL
1,"Data Scientist",2022-03-27,0,NULL,NULL
2,"Data Analyst",2022-04-15,0,NULL,NULL
1,"Business Analyst",2022-08-21,0,NULL,NULL
1,"Data Analyst",2022-05-31,1,243,"91 to 365 days"
1,"Data Scientist",2022-09-28,0,NULL,NULL
2,"Business Analyst",2022-09-20,0,NULL,NULL
1,"Data Scientist",2022-05-18,0,NULL,NULL
1,"Data Analyst",2022-01-06,0,NULL,NULL
1,"Data Analyst",2022-03-20,0,NULL,NULL
1,"Data Scientist",2022-05-05,0,NULL,NULL
1,"Data Scientist",2022-10-18,0,NULL,NULL
2,"Data Analyst",2022-10-18,0,NULL,NULL
3,"Business Analyst",2022-10-18,0,NULL,NULL
1,"Data Analyst",2022-08-18,0,NULL,NULL
1,"Data Analyst",2022-01-07,0,NULL,NULL
1,"Data Scientist",2022-08-18,0,NULL,NULL
1,"Data Analyst",2022-08-19,0,NULL,NULL
1,"Business Analyst",2022-01-12,0,NULL,NULL
1,"Business Analyst",2022-07-30,0,NULL,NULL
1,"Data Analyst",2022-09-23,0,NULL,NULL
1,"Data Analyst",2022-03-01,0,NULL,NULL
1,"Business Analyst",2022-01-20,0,NULL,NULL
1,"Data Analyst",2022-07-05,0,NULL,NULL
1,"Data Analyst",2022-05-20,0,NULL,NULL
1,"Data Analyst",2022-03-18,0,NULL,NULL
1,"Data Analyst",2022-03-23,0,NULL,NULL
1,"Data Analyst",2022-01-08,0,NULL,NULL
1,"Data Scientist",2022-06-04,0,NULL,NULL
1,"Data Scientist",2022-02-26,0,NULL,NULL
2,"Data Analyst",2022-03-09,0,NULL,NULL
3,"Business Analyst",2022-05-10,0,NULL,NULL
1,"Business Analyst",2022-01-23,0,NULL,NULL
1,"Data Scientist",2022-06-19,0,NULL,NULL
2,"Data Analyst",2022-06-19,0,NULL,NULL
3,"Business Analyst",2022-06-19,0,NULL,NULL
1,"Data Analyst",2022-02-06,0,NULL,NULL
2,"Business Analyst",2022-06-07,0,NULL,NULL
1,"Data Analyst",2022-05-20,0,NULL,NULL
1,"Data Analyst",2022-08-17,0,NULL,NULL
1,"Data Analyst",2022-01-12,0,NULL,NULL
1,"Data Scientist",2022-05-29,0,NULL,NULL
1,"Data Scientist",2022-04-15,0,NULL,NULL
1,"Data Scientist",2022-08-25,0,NULL,NULL
1,"Data Scientist",2022-03-03,0,NULL,NULL
1,"Data Scientist",2022-08-15,0,NULL,NULL
1,"Business Analyst",2022-08-11,0,NULL,NULL
1,"Business Analyst",2022-02-02,0,NULL,NULL
1,"Business Analyst",2022-01-30,0,NULL,NULL
1,"Business Analyst",2022-10-03,0,NULL,NULL
1,"Data Analyst",2022-03-26,0,NULL,NULL
1,"Business Analyst",2022-07-28,0,NULL,NULL
1,"Data Scientist",2022-07-21,0,NULL,NULL
1,"Data Scientist",2022-03-30,0,NULL,NULL
1,"Data Scientist",2022-06-20,0,NULL,NULL
1,"Data Analyst",2022-03-08,0,NULL,NULL
1,"Data Analyst",2022-04-07,0,NULL,NULL
1,"Data Analyst",2022-06-12,0,NULL,NULL
1,"Data Analyst",2022-08-16,0,NULL,NULL
1,"Data Scientist",2022-05-21,0,NULL,NULL
1,"Data Analyst",2022-03-07,0,NULL,NULL
1,"Data Scientist",2022-03-18,0,NULL,NULL
1,"Data Scientist",2022-01-10,0,NULL,NULL
1,"Data Analyst",2022-04-26,0,NULL,NULL
1,"Data Scientist",2022-08-14,0,NULL,NULL
1,"Business Analyst",2022-04-04,0,NULL,NULL
1,"Data Scientist",2022-03-03,0,NULL,NULL
1,"Data Analyst",2022-02-16,0,NULL,NULL
1,"Data Scientist",2022-02-12,0,NULL,NULL
1,"Data Analyst",2022-08-15,0,NULL,NULL
1,"Data Analyst",2022-03-19,0,NULL,NULL
1,"Data Scientist",2022-06-24,0,NULL,NULL
2,"Data Analyst",2022-02-04,0,NULL,NULL
1,"Data Analyst",2022-07-07,0,NULL,NULL
1,"Data Analyst",2022-06-02,0,NULL,NULL
1,"Data Scientist",2022-08-02,0,NULL,NULL
1,"Data Analyst",2022-01-23,0,NULL,NULL
1,"Data Scientist",2022-05-26,0,NULL,NULL
1,"Data Scientist",2022-06-19,0,NULL,NULL
1,"Data Scientist",2022-05-22,0,NULL,NULL
2,"Data Analyst",2022-02-22,0,NULL,NULL
3,"Business Analyst",2022-05-22,0,NULL,NULL
1,"Business Analyst",2022-03-02,0,NULL,NULL
1,"Data Scientist",2022-03-10,0,NULL,NULL
1,"Data Analyst",2022-02-27,0,NULL,NULL
1,"Data Analyst",2022-02-01,0,NULL,NULL
1,"Data Analyst",2022-07-30,0,NULL,NULL
1,"Data Analyst",2022-01-21,0,NULL,NULL
1,"Data Analyst",2022-02-03,0,NULL,NULL
1,"Data Scientist",2022-05-27,0,NULL,NULL
1,"Data Scientist",2022-03-26,0,NULL,NULL
1,"Data Scientist",2022-07-18,0,NULL,NULL
1,"Data Analyst",2022-06-18,0,NULL,NULL
1,"Data Scientist",2022-02-21,0,NULL,NULL
2,"Data Analyst",2022-02-21,1,12,"8 to 30 days"
1,"Data Scientist",2022-04-06,0,NULL,NULL
1,"Data Scientist",2022-02-24,0,NULL,NULL
1,"Data Analyst",2022-01-16,0,NULL,NULL
1,"Data Scientist",2022-08-15,0,NULL,NULL
1,"Data Analyst",2022-09-02,0,NULL,NULL
1,"Business Analyst",2022-05-06,0,NULL,NULL
1,"Data Analyst",2022-04-25,0,NULL,NULL
1,"Data Analyst",2022-06-18,0,NULL,NULL
1,"Data Scientist",2022-01-17,0,NULL,NULL
1,"Data Analyst",2022-04-23,0,NULL,NULL
1,"Data Analyst",2022-09-20,0,NULL,NULL
2,"Business Analyst",2022-09-20,0,NULL,NULL
1,"Data Scientist",2022-01-01,0,NULL,NULL
2,"Data Analyst",2022-09-17,0,NULL,NULL
1,"Data Analyst",2022-03-07,0,NULL,NULL
1,"Data Analyst",2022-08-16,0,NULL,NULL
1,"Data Analyst",2022-05-31,0,NULL,NULL
1,"Data Analyst",2022-07-19,0,NULL,NULL
1,"Data Scientist",2022-02-05,0,NULL,NULL
2,"Data Analyst",2022-02-08,0,NULL,NULL
1,"Data Analyst",2022-03-20,0,NULL,NULL
1,"Data Analyst",2022-10-12,0,NULL,NULL
2,"Business Analyst",2022-04-20,0,NULL,NULL
1,"Data Analyst",2022-08-11,0,NULL,NULL
1,"Data Scientist",2022-04-21,0,NULL,NULL
1,"Data Analyst",2022-01-31,0,NULL,NULL
1,"Data Scientist",2022-05-29,0,NULL,NULL
